	GB19-0250	GB19-0251	GB19-0252	GB19-0253	GB19-0254	MLW-0517-0-5	MLW-0517-10	MLW-0517-20	MLW-0517-25	MLW-0517-30	MLW-0518-00	MLW-0518-05	MLW-0518-10	MLW-0518-12	MLW-0518-17	MLW-0518-20	MLW-0518-25	MLW-0518-35	MLW-0519-05	MLW-0519-12	MLW-0519-15	MLW-0519-17	MLW-0519-25	MLW-0519-35	MLW-0521-05	MLW-0521-10	MLW-0521-14	MLW-0521-18	MLW-0521-22	MLW-0521-27	MLW-0521-35	MLW-0617-0-5m	MLW-0617-10m	MLW-0617-15m	MLW-0617-20m	MLW-0617-27m	MLW-0917-05-1	MLW-0917-05-2	MLW-0917-05-3	MLW-0917-10-1	MLW-0917-10-2	MLW-0917-10-3	MLW-0917-15-1	MLW-0917-15-2	MLW-0917-15-3	MLW-0917-20-1	MLW-0917-20-2	MLW-0917-20-3	MLW-0917-24-1	MLW-0917-24-2	MLW-0917-24-3	MLW-0917-5-1	MLW-0917-5-2	MLW-0917-5-3	MLW-0919-00	MLW-0919-10	MLW-0919-16	MLW-0919-17	MLW-0919-18	MLW-0919-20	MLW-0919-30	MLW-0920-05	MLW-0920-10	MLW-0920-15	MLW-0920-18	MLW-0920-20	MLW-0920-22	MLW-0920-25	MLW-0920-30	MLW-1018-00	MLW-1018-05	MLW-1018-12	MLW-1018-15	MLW-1018-17	MLW-1018-20	MLW-1018-30	MLW-1018-35	MLW-DNAexBlank-50cyc
ASV_37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3580
ASV_38	0	0	61	0	0	144	93	129	0	69	75	0	0	93	0	86	68	0	0	0	0	0	0	0	0	77	121	93	40	60	34	12	141	0	121	89	57	104	71	128	76	0	0	83	113	46	0	122	132	0	172	89	118	0	49	54	0	66	54	77	15	0	77	33	0	8	0	13	0	0	0	35	0	0	0	0	0	0
ASV_39	11	0	11	39	27	589	367	275	275	246	12	7	7	0	10	5	6	0	38	15	15	8	0	0	0	64	108	23	18	38	10	79	56	14	14	28	34	34	26	23	23	18	0	6	6	13	17	17	16	15	20	41	51	75	18	25	0	11	0	9	0	26	31	4	0	0	0	1	0	12	14	19	10	20	5	0	9	0
ASV_40	6	15	10	104	37	13	13	19	12	24	0	0	3	0	0	0	0	0	44	28	9	18	5	4	10	41	33	17	12	20	6	0	0	0	0	0	5	8	3	5	0	0	0	3	0	0	0	3	0	2	0	0	0	0	42	74	28	24	12	24	6	509	440	635	338	89	72	39	30	22	30	15	5	0	0	0	0	0
ASV_41	205	86	147	3	0	0	2	1	0	9	0	0	0	3	72	29	30	58	2	8	10	64	126	122	0	0	1	0	3	0	0	2	0	0	4	6	17	12	16	7	18	9	0	21	11	15	18	18	13	19	13	0	1	0	5	44	125	77	84	146	27	23	163	196	207	30	59	33	60	12	15	11	119	79	60	70	68	0
ASV_42	0	0	29	0	0	0	215	0	0	124	0	53	54	0	47	55	0	0	72	0	0	65	73	0	0	61	118	75	55	57	23	68	88	83	112	0	0	117	94	0	55	96	86	67	0	0	0	104	93	0	118	80	117	60	0	29	50	0	0	72	14	0	0	0	41	0	0	0	7	0	0	0	24	29	0	0	23	0
ASV_43	101	29	82	0	0	0	2	5	0	5	0	0	0	11	171	77	84	83	0	0	11	40	72	85	0	0	0	0	0	0	0	0	0	0	0	0	0	19	13	25	32	12	0	0	0	2	0	0	0	5	3	0	0	0	0	0	25	30	26	95	43	10	69	239	177	50	65	99	100	17	36	24	217	162	168	137	142	0
ASV_44	128	91	101	20	2	47	148	306	453	541	0	0	4	0	7	0	9	11	17	16	0	12	21	31	0	25	40	16	5	9	6	16	43	42	37	47	6	13	15	11	10	5	11	15	4	6	11	13	10	1	11	21	15	23	3	5	14	7	9	36	12	10	12	2	4	0	3	3	0	15	18	8	40	40	18	50	24	0
ASV_45	114	18	62	0	0	0	0	0	0	0	0	0	0	0	74	69	81	64	2	8	18	33	117	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	79	63	50	153	68	0	26	128	274	114	123	115	176	2	2	0	62	81	92	125	139	0
ASV_46	4	5	10	340	657	224	65	13	10	12	1	0	0	0	0	0	0	2	118	17	0	6	5	0	84	30	0	3	5	0	0	261	8	2	0	0	38	9	43	0	0	5	0	0	1	3	2	3	2	0	0	70	52	64	70	52	32	19	8	22	6	82	67	62	52	5	14	5	3	20	7	5	6	3	4	2	0	0
ASV_47	48	234	145	36	0	3	15	70	84	60	0	0	0	30	11	3	3	4	10	158	50	208	118	49	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	21	104	105	56	104	20	42	504	95	42	5	12	3	0	55	14	29	21	3	4	1	0	0
ASV_48	23	14	26	22	10	371	254	230	247	248	0	3	0	2	0	0	0	7	36	25	0	10	15	8	0	85	122	35	28	32	24	33	7	14	15	33	17	25	23	15	21	15	20	24	6	19	14	14	0	15	4	19	5	15	0	32	16	17	0	15	0	18	27	51	35	10	17	0	3	12	0	0	14	20	3	16	21	0
ASV_49	7	17	22	58	13	145	169	374	300	350	5	2	3	6	0	12	9	0	38	16	15	12	0	0	6	16	18	6	3	12	2	17	34	11	26	26	57	28	65	9	10	0	26	14	19	14	18	8	11	20	9	74	94	94	34	20	2	6	1	6	0	14	16	7	1	0	2	1	0	21	18	12	7	7	8	0	0	0
ASV_50	88	31	62	1	0	0	0	0	3	0	0	0	0	1	107	91	59	95	0	6	9	40	106	131	0	0	0	0	0	0	0	0	0	0	0	0	22	35	8	57	83	42	17	35	18	25	28	27	26	28	24	1	0	0	0	6	84	53	73	125	40	6	23	43	75	16	34	40	52	0	5	1	117	89	97	106	105	0
